"X","paper_doi","paper_files","paper_comment","np_core","np_shell_1","np_shell_2","np_shell_3","np_hydro_size","np_zeta","syn_description","syn_method","syn_temp","syn_pH","syn_steer","syn_atm","syn_press","syn_surf","syn_doi","xrd_scherrer_size","xrd_crystallinity","xrd_fracs","xrd_files","emic_exp_type","emic_kV","emic_scan_regime","emic_interplanar_dist","emic_size","emic_x_size","emic_y_size","emic_z_size","emic_shape","emic_files","ads_method","ads_adsorbate","ads_pore_volume","ads_density","ads_pore_size","ads_surf_area","ads_files","tox_test_type","tox_cell_line","tox_gen_tox","tox_mtt_24","tox_mtt_48","tox_mtt_72","tox_lc50","tox_noec","tox_loes","tox_live_frac","tox_apopt_frac","tox_necr_frac","squid_temp","squid_h_max","squid_sat_mag","squid_coerc_f","squid_rem_mag","squid_orient","squid_h_bias","squid_files","zfc_temp_min","zfc_temp_max","zfc_h_meas","zfc_temp_block","zfc_files","htherm_method","htherm_relax","htherm_h_amplitude","htherm_amf_freq","htherm_sar","htherm_ilp","htherm_toxicity","htherm_files","magmech_mech","magmech_h_val","magmech_mag_grad","magmech_torque","magmech_wdist","magmech_mag_type","magmech_target","magmech_target_force","mri_h_val","mri_r1","mri_r2","dds_h_val","dds_mag_grad","dds_wdist","dds_mag_type","dds_vessel","dds_velocity","dds_accumulation","mep_mep_coef","mep_h_val","mep_h_opt","mep_epsilon","mep_piezo","mep_resist"
,"",,,"Mn0.43Fe2.57O4","-","-","-","19.97","-53.5","A one-pot synthetic route of MnxFe3-xO4
nanoparticles (using x = 0.43 as example) is as follows: 0.903 g (1 mmol) of iron oleate (synthesized
in a typical method) and 0.104 g (0.167 mmol) manganese oleate were dissolved in 15mL of
1-octadecene, with the addition of 0.186 mL (0.584 mmol) of oleic acid. The solution was first kept
at 120 °C for 30 min in vacuum to remove air and other impurities then refluxed at 320 °C in N2 for
2 h before cooling to room temperature. The products were separated by centrifugation, washed three
times with ethanol, and dispersed in hexane for further use. The preparation of Fe3O4 nanoparticles is
similar to the procedure without the adding of manganese oleate.","thermal decomposition",,,,"",,"","",,"crystalline","inverse spinel structures of magnetite",,"TEM",,"-","0.3","18.5","18.5","18.5","18.5","spherical","","","",,,,,,"MTT","SMMC-7721","no","100",,,,,,,,,"300","50000","75.6","0","0",,,,,,,,,"",,,,,,,,,,,,,,,,"7","0.5","904.4",,,,,,,,,,,,,
,"3545",,,"","","","",,,"","",,,,"",,"","","1","","",,"",,"",,,,,,"","","","",,,,,,"","","",,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3545",,,"","","","",,,"","",,,,"",,"","","1","","",,"",,"",,,,,,"","","","",,,,,,"","","",,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"https://doi.org/10.1016/j.bioactmat.2021.09.028",,,"Fe3O4","","","","548","24"," In the first step, 0.002 mol FeCl2·4H2O and 0.004 mol
FeCl3·6H2O were dissolved in 5 ml HCl to form a yellow transparent
solution. While magnetic stirring, 50 ml ammonia solution (0.4 M) was
added dropwise (0.75 ml per minute) which ended to the formation of a
black colloid. After 5 min of magnetic stirring, the colloid was collected
and washed","Hydrothermal","298",,,"Air","1.01325","","https://doi.org/10.1016/j.eurpolymj.2019.08.024",,"","Powder",,"TEM","120","",,"9.4","9.4","9.4","9.4","spherical","","","",,,,,,"","","",,,,,,,,,,"298",,"56",,"7.8",,,,,,,,,"",,,,,,,,,,,,,,,,,"2.84","46.51",,,,,,,,,,,,,
,"https://doi.org/10.1016/j.bioactmat.2021.09.028",,,"Fe3O4","Oleic acid","","","204","1","In the first step, 0.002 mol FeCl2·4H2O and 0.004 mol
FeCl3·6H2O were dissolved in 5 ml HCl to form a yellow transparent
solution. While magnetic stirring, 50 ml ammonia solution (0.4 M) was
added dropwise (0.75 ml per minute) which ended to the formation of a
black colloid. After 5 min of magnetic stirring, the colloid was collected
and washed. Coating of nanoparticles
was applied using 14.5 ml oleic acid (Sigma) per gram of particles,
polymer/particle ratio of 12.5, and F127/F68 (Sigma) ratio of 1.5. These
particles were recognized as nanocarriers","Hydrothermal","298",,,"air","1.035","","https://doi.org/10.1016/j.eurpolymj.2019.08.024",,"","powder",,"TEM","120","",,"21.8","21.8","21.8","21.8","spherical","","","",,,,,,"","","",,,,,,,,,,"298",,"30",,"5",,,,,,,,,"",,,,,,,,,,,,,,,,,"3.23","150.1",,,,,,,,,,,,,
,"https://doi.org/10.1016/j.bioactmat.2021.09.028",,,"Fe3O4","Oleic acid","Pluronic","Curcumin","887","5","In the first step, 0.002 mol FeCl2·4H2O and 0.004 mol
FeCl3·6H2O were dissolved in 5 ml HCl to form a yellow transparent
solution. While magnetic stirring, 50 ml ammonia solution (0.4 M) was
added dropwise (0.75 ml per minute) which ended to the formation of a
black colloid. After 5 min of magnetic stirring, the colloid was collected
and washed. Coating of nanoparticles
was applied using 14.5 ml oleic acid (Sigma) per gram of particles,
polymer/particle ratio of 12.5, and F127/F68 (Sigma) ratio of 1.5. These
particles were recognized as nanocarriers (NCs). Loading of curcumin
(Sigma) was applied similar to the previously used method [21]. In this
process, curcumin was dissolved in acetone (10 mg/ml), and the solu-
tion was added dropwise to the deionized water dispersed NCs
(200μl/10 mg) while the particles had a concentration of 10 mg/3 ml
water. To enhance the loading efficiency, the colloid was stirred at 0 ◦C
for 2 h, and it was kept overnight at room temperature. Low temperature
increases the hydrophilicity, expands the molecules of pluronic, and
simplifies the diffusion and absorption of curcumin in the hydrophobic
parts of the NCs.","Hydrothermal","298",,,"Air","1.035","","https://doi.org/10.1016/j.eurpolymj.2019.08.024",,"","",,"TEM","120","",,"18.98","18.98","18.98","18.98","Spherical","","","",,,,,,"","","",,,,,,,,,,"298",,"30",,"4",,,,,,,,,"",,,,,,,,,,,,,,,,,"6.12","65.93",,,,,,,,,,,,,
,"https://doi.org/10.1016/j.ceramint.2021.12.209",,,"Hematite/alumina","","","",,,"Porous hematite/alumina nanocomposite was prepared by the sol-
gel combustion synthesis method. For the synthesis we used: glass
beaker of 500 ml capacity, aluminium nitrate (Al(NO3)3⋅9H2O, Aldrich
98%), deionized water, urea (CO(NH2)2, Aldrich 98%), and iron nitrate
(Fe(NO3)3⋅9H2O, Aldrich 98%). The starting solution is prepared by
mixing aluminium nitrate (Al(NO3)3⋅9H2O, Aldrich), deionized water, 10006urea (CO(NH2)2, Aldrich) as fuel, and iron nitrate (Fe(NO3)3⋅9H2O,
Aldrich). A proportion of aluminium and iron nitrates produce 45 wt%
of iron oxide in the final sample. A molar ratio urea/nitrate was 0.9. The
prepared solution was heated in the glass beaker using a hot plate (T ~
200 ◦C) for 4 h. During heating the solution became a viscous gel, which
self-combusted. The prepared brown-red ash was washed four times
with absolute ethanol and two times with deionized water. The final
heating of the sample was done at 300 ◦C for 6 h.","","300",,,"Air","1.035","","","37.3","","powder",,"TEM",,"",,"100","100","100","100","spherical","","Gas adsorption-desorption","N2",,"0.135","6.8","79.3",,"","","",,,,,,,,,,"300",,"2.71","293","0.98",,,,"35","350","100","305",,"",,,,,,,,,,,,,,,,"7","0.44",,,,,,,,,,,,,,
,"https://doi.org/10.1016/j.ceramint.2021.12.209",,,"Hematite/alumina","","","",,,"Porous hematite/alumina nanocomposite was prepared by the sol-","","300",,,"Air","1.035","","","37.3","","Powder",,"TEM",,"",,"100","100","100","100","Spherical","","Gas adsorption-desorption","N2",,"0.135","6.8","79.3",,"","","",,,,,,,,,,"5",,"9.25","1150","0.85",,,,"45","350","10","305",,"",,,,,,,,,,,,,,,,"15.2",,"1.08",,,,,,,,,,,,,
,"https://doi.org/10.1016/j.jmmm.2012.10.049",,,"Fe","Fe3O4, y-Fe2O3","PEO–b– PyMPS","",,,"iron pentacarbonyl
was decomposed at high temperature in an air free environment
in 1-octadecene, oleylamine (OAm) and oleic acid (OA), under
vigorous stirring. The schematic of reaction route is shown in
Fig. 1. This synthesis technique produced core/shell structured iron/iron-oxide nanoparticles. The dark nanoparticle solution was
precipitated by the addition of absolute ethanol and separated by
a strong laboratory magnet and dispersed in hexane. Particle size
can be controlled by varying the different reaction parameters;
details have been published elsewhere","Decomposition",,,,"Air","1","1-octadecene, oleylamine (OAm) and oleic acid (OA)","https://doi.org/10.1063/1.3368720",,"","",,"TEM",,"",,"8.9","8.9","8.9","8.9","sphere","","","",,,,,,"","","",,,,,,,,,,"300",,"42","0","0",,,,"4","300","100","100",,"",,,,,,,,,,,,,,,,"1.5",,"293",,,,,,,,,,,,,
,"https://doi.org/10.1016/j.biomaterials.2014.04.063",,,"Fe","Fe3O4","PEG","","103",,"To the mixture solvents of 1-octadecene (20 mL) and oleylamine (0.2 mL,
1.0 mmol) in a three-neck flask, hexadecylamonium chloride (280 mg, 1 mmol) was
added. The solution was degassed under a nitrogen flow at 120  C with the vigorous
stirring for 30 min. When the temperature of the mixture solvents increased to
180 C, iron pentacarbonyl (0.7 mL, 5 mmol) was added, then reacted for 40 min.
After the reaction solution cooled down to room temperature, trimethylamine N-
oxide (0.75 mg, 0.1 mmol) was added and quickly heated up to 250  C for another
30 min. After the temperature decreased to room temperature, the supernatant was
decanted and the obtained NPs were washed with ethanol. The purified Fe@Fe3O4
NPs NPs were dispersed in hexane to prepare a black-brown hexane dispersion.
Methoxypoly(ethylene glycol) carboxyl acid (200 mg), 30 mg of NHS and
dopamine hydrochloride (12.7 mg) were dissolved in pyridine (10 mL). EDC (30 mg)
in 0.5 mL of chloroform was added to the above solution. After the solution was
reacted for 4 h, 40 mg of Fe@Fe3O4 NPs was added, then the mixture was shaken for
overnight. The formed PEGylated Fe@Fe3O4 NPs were precipitated by the addition of
hexane, separated by an external magnet, and washed with ethanol and H2O. The
final NPs were dispersed in water for further characterization.","Polyol",,,,"N2",,"","","8.9","high","Fe, Fe3O4",,"TEM","200","",,"9.5","9.5","9.5","9.5","Sphere","","","",,,,,,"MTT","HeLa","","85",,,,,,,,,"300","6","113","160","18",,,,,,,,,"",,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,
